BlobID, InImage_ID, Source_folder, Source_filename, Out_folder, Out_filename, Center_x, Center_y, Area, Eccentricity, Majoraxis_length, Minoraxis_length, Min_max_ratio, Equi_diameter, Orientation, Extent, Perimeter, Band_1_W_450.00, Band_2_W_454.00, Band_3_W_458.00, Band_4_W_462.00, Band_5_W_466.00, Band_6_W_470.00, Band_7_W_474.00, Band_8_W_478.00, Band_9_W_482.00, Band_10_W_486.00, Band_11_W_490.00, Band_12_W_494.00, Band_13_W_498.00, Band_14_W_502.00, Band_15_W_506.00, Band_16_W_510.00, Band_17_W_514.00, Band_18_W_518.00, Band_19_W_522.00, Band_20_W_526.00, Band_21_W_530.00, Band_22_W_534.00, Band_23_W_538.00, Band_24_W_542.00, Band_25_W_546.00, Band_26_W_550.00, Band_27_W_554.00, Band_28_W_558.00, Band_29_W_562.00, Band_30_W_566.00, Band_31_W_570.00, Band_32_W_574.00, Band_33_W_578.00, Band_34_W_582.00, Band_35_W_586.00, Band_36_W_590.00, Band_37_W_594.00, Band_38_W_598.00, Band_39_W_602.00, Band_40_W_606.00, Band_41_W_610.00, Band_42_W_614.00, Band_43_W_618.00, Band_44_W_622.00, Band_45_W_626.00, Band_46_W_630.00, Band_47_W_634.00, Band_48_W_638.00, Band_49_W_642.00, Band_50_W_646.00, Band_51_W_650.00, Band_52_W_654.00, Band_53_W_658.00, Band_54_W_662.00, Band_55_W_666.00, Band_56_W_670.00, Band_57_W_674.00, Band_58_W_678.00, Band_59_W_682.00, Band_60_W_686.00, Band_61_W_690.00, Band_62_W_694.00, Band_63_W_698.00, Band_64_W_702.00, Band_65_W_706.00, Band_66_W_710.00, Band_67_W_714.00, Band_68_W_718.00, Band_69_W_722.00, Band_70_W_726.00, Band_71_W_730.00, Band_72_W_734.00, Band_73_W_738.00, Band_74_W_742.00, Band_75_W_746.00, Band_76_W_750.00, Band_77_W_754.00, Band_78_W_758.00, Band_79_W_762.00, Band_80_W_766.00, Band_81_W_770.00, Band_82_W_774.00, Band_83_W_778.00, Band_84_W_782.00, Band_85_W_786.00, Band_86_W_790.00, Band_87_W_794.00, Band_88_W_798.00, Band_89_W_800.00, Species, Class_label
1,1,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0001.tif,101.6427002,979.8248901,344,0.556924186,22.14257622,18.39081192,0.830563334,20.92831583,2.632201576,0.712215321,75.01219249,690.119186,697.2965116,1092.729651,1102.703488,1033.5,1092.889535,1135.520349,1158.781977,1132.857558,1093.087209,1100.755814,1169.729651,1204.863372,1023.011628,958.5290698,941.2674419,945.0203488,1121.392442,1165.296512,1167.215116,1292.168605,1377.523256,1419.049419,1936.732558,5481.994186,2026.072674,1530.093023,1426.959302,1330.857558,1276.299419,1316.790698,1520.872093,1360.273256,1189.383721,1605.386628,2584.627907,3546.188953,3677.325581,3740.700581,3416.267442,3107.424419,2786.47093,2532.043605,2276.715116,2139.090116,2070.017442,1997.502907,1973.476744,1908.322674,1850.27907,1706.276163,1624.177326,1545.610465,1359.357558,1362.72093,1390.546512,1251.046512,1130.648256,1109.372093,1190.502907,1197.656977,1149.659884,1126.94186,1151.642442,1141.502907,1091.828488,1019.671512,920.9127907,893.3604651,811.3837209,743.8459302,703.9447674,668.0145349,655.5901163,643.1133721,636.9186047,631.377907,630.0872093,637.7645349,641.380814,630.497093,614.6046512,613.1802326,614.122093,606.4505814,607.1831395,606.4505814,598.372093,598.8430233,1,2
2,2,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0002.tif,629.7990723,952.2603149,430,0.623223153,25.55276871,19.98339081,0.782044053,23.39856842,2.425281416,0.778985507,77.35533834,782.5186047,750.4860465,1499.8,1511.6,1413.304651,1467.67907,1547.325581,1588.532558,1516.586047,1472.274419,1489.634884,1582.190698,1617.809302,1328.527907,1199.927907,1161.053488,1174.567442,1450.306977,1571.786047,1519.734884,1705.57907,1822.497674,1914.502326,2429.162791,9093.390698,2902.47907,1988.272093,1798.432558,1655.181395,1576.75814,1650.376744,1910.767442,1746.204651,1450.274419,2054.444186,3141.962791,4596.716279,4762.302326,4800.932558,4392.05814,3942.386047,3533.139535,3184.92093,2838.225581,2636.409302,2514.681395,2436.962791,2343.446512,2252.388372,2163.444186,1974.965116,1911.337209,1788.732558,1560.709302,1522.9,1568.318605,1412.413953,1270.37907,1227.634884,1327.84186,1323.662791,1257.695349,1234.569767,1281.504651,1255.425581,1213.293023,1131.869767,1008.813953,973.6,880.4186047,787.7813953,739.2069767,699.772093,681.6023256,668.9116279,660.4255814,652.3209302,647.4883721,658.8186047,658.2232558,654.355814,635.8581395,633.5348837,633.7627907,629.2232558,625.7953488,622.3093023,618.4581395,617.9860465,1,2
3,3,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0003.tif,368.3457642,944.6768188,474,0.666361841,27.7936058,20.72370529,0.745628525,24.56655336,1.944991233,0.797979798,83.9411248,756.5886076,716.8966245,1238.599156,1251.704641,1199.776371,1266.892405,1327.278481,1340.314346,1287.911392,1231.483122,1265.050633,1358.584388,1410.35654,1179.647679,1075.582278,1034.459916,1057.894515,1284.921941,1403.892405,1386.588608,1517.49789,1616.905063,1659.943038,2027.582278,8056.932489,2571.867089,1799.989451,1662.379747,1556.126582,1475.78692,1490.512658,1736.514768,1620.727848,1358.706751,1967.947257,2849.476793,4372.35865,4563.940928,4544.624473,4167.599156,3716.932489,3315.921941,3005.521097,2675.392405,2516.130802,2455.812236,2408.78903,2343.50211,2248.888186,2177.852321,1998.451477,1929.160338,1808.827004,1577.957806,1516.563291,1574.727848,1449.753165,1298.964135,1264.624473,1360.970464,1385.080169,1317.50211,1298.044304,1349.175105,1309.421941,1256.85654,1167.183544,1041.219409,1001.35654,892.3438819,814.1350211,755.278481,710.4978903,688.8333333,675.2869198,668.9514768,657.6350211,657.592827,667.5189873,666.335443,658.3101266,641.4135021,637.6012658,643.1371308,637.4388186,632.2848101,627.9894515,624.1476793,624.8755274,1,2
4,4,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0004.tif,116.9458618,942.7335815,464,0.914410283,37.38908386,15.13467598,0.404788629,24.30603112,2.883671894,0.662857143,98.08326018,713.6594828,713.9698276,1144.040948,1137.411638,1077.911638,1125.342672,1170.474138,1184.05819,1147.077586,1116.43319,1132.825431,1200.976293,1214.987069,1034.747845,959.1831897,932.8685345,955.0064655,1115.924569,1193.015086,1163.797414,1298.431034,1386.838362,1437.471983,1834.476293,5639.823276,1999.047414,1477.5,1369.019397,1279.193966,1228.872845,1267.478448,1444.342672,1308.37931,1142.396552,1521.702586,2315.918103,3222.659483,3348.301724,3359.50431,3120.741379,2799.543103,2542.038793,2303.849138,2082.790948,1943.05819,1865.918103,1805.049569,1765.982759,1711.94181,1635.704741,1517.502155,1479.327586,1392,1233.314655,1208.931034,1237.364224,1130.622845,1025.407328,1005.823276,1069.646552,1066.497845,1013.650862,1021.614224,1044.409483,1025.827586,988.4181034,932.0452586,852.0840517,820.3146552,766.2866379,710.3836207,676.6422414,649.6659483,641.7025862,632.5840517,626.8168103,620.6465517,620.2133621,622.2758621,624.1530172,622.1077586,608.5862069,604.9806034,602.737069,601,602.6616379,599.2133621,592.3469828,592.2241379,1,2
5,5,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0005.tif,83.78677368,899.5656738,504,0.489874471,26.23637581,22.87268829,0.871792982,25.33204947,1.151489336,0.777777778,84.18376541,692.140873,686.0297619,1077.886905,1063.422619,1022.017857,1075.56746,1116.501984,1122.78373,1076.089286,1047.075397,1072.799603,1146.323413,1170.253968,998.4107143,930.8253968,897.7777778,910.0456349,1078.543651,1161.924603,1160.309524,1267.89881,1354.422619,1390.30754,1765.420635,5579.115079,1979.924603,1497.188492,1381.863095,1306.470238,1241.607143,1265.440476,1451.509921,1317.107143,1157.696429,1588.902778,2438.894841,3482.021825,3611.755952,3638.805556,3348.819444,3000.704365,2691.652778,2471.180556,2214.791667,2102.027778,2043.186508,1989.35119,1953.628968,1900.013889,1822.996032,1664.293651,1614.513889,1515.367063,1344.980159,1318.865079,1360.948413,1231.650794,1121.873016,1094.501984,1175.84127,1192.779762,1144.105159,1129.928571,1180.577381,1135.549603,1097.011905,1033.160714,925.4484127,885.5238095,809.2718254,746.0912698,699.8353175,668.8948413,648.6289683,639.5039683,631.1626984,626.7559524,626.7281746,631.8551587,636.7281746,628.6428571,611.4464286,608.327381,608.2519841,607.2202381,603.3948413,600.4960317,598.8194444,598.1230159,1,2
6,6,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0006.tif,822.6184082,897.4762573,580,0.870670611,37.92013168,18.65164375,0.491866534,27.17496892,2.532870195,0.609243697,98.91168761,704.9862069,707.4189655,1173.632759,1178.991379,1114.72069,1169.184483,1210.891379,1255.62069,1232.274138,1198.598276,1220.463793,1293.003448,1311.543103,1102.527586,1030.341379,1006.413793,1029.422414,1232.146552,1305.277586,1278.225862,1422.372414,1546.837931,1641.681034,2168.132759,6921.932759,2369.07931,1703.181034,1556.651724,1444.601724,1388.772414,1475.315517,1726.9,1547.046552,1327.087931,1799.056897,2905.391379,4026.453448,4149.110345,4230.856897,3938.010345,3600.144828,3256.694828,2938.35,2661.694828,2457.067241,2373.467241,2267.824138,2196.032759,2111.22931,2047.082759,1874.794828,1846.77931,1727.763793,1520.634483,1494.117241,1545.431034,1373.810345,1240.562069,1194.306897,1288.068966,1294.065517,1230.956897,1222.212069,1265.544828,1244.917241,1207.822414,1113.393103,1009.584483,970.4086207,872.6068966,781.4482759,733.0896552,691.7948276,671.2293103,657.6793103,649.3517241,647.1051724,648.487931,657.2172414,655.1103448,651.3241379,631.7689655,633.1051724,631.3724138,630.112069,626.4672414,620.5758621,614.9206897,612.9775862,1,2
7,7,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0007.tif,218.3400421,891.5112915,487,0.569009048,27.21230507,22.37752914,0.822331261,24.90115777,1.828359957,0.828231293,83.11269772,760.5174538,712.1067762,1238.392197,1266.478439,1206.542094,1290.457906,1334.252567,1346.926078,1298.002053,1230.537988,1260.841889,1356.213552,1410.459959,1179.722793,1064.096509,1035.921971,1044.445585,1269.521561,1397.938398,1378.811088,1506.326489,1598.5154,1644.092402,2006.577002,7827.002053,2502.028747,1781.355236,1648.837782,1521.092402,1432.433265,1474.049281,1680.864476,1578.761807,1329.685832,1909.698152,2806.117043,4315.49076,4500.338809,4503.453799,4105.01848,3644.572895,3252.975359,2923.158111,2641.425051,2468.911704,2397.10883,2349.782341,2299.712526,2240.523614,2165.874743,1952.184805,1864.203285,1747.205339,1525.620123,1470.63039,1538.938398,1388.967146,1263.887064,1223.096509,1332.010267,1345.322382,1288.743326,1265.043121,1303.418891,1274.677618,1219.285421,1136.644764,1012.398357,960.5112936,874.5174538,790.0164271,744.6365503,701.3983573,675.1622177,666.5852156,659.3696099,649.4065708,647.3655031,652.7638604,656.9527721,647.8973306,630.3737166,625.3572895,626.301848,620.7782341,620.1026694,616.8911704,614.7104723,613.0574949,1,2
8,8,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0008.tif,296.0388794,889.4334717,470,0.753937778,29.44893837,19.34635735,0.656945833,24.46267741,2.08514155,0.725308642,83.59797883,760.8042553,709.3255319,1172.057447,1209.919149,1157.002128,1237.153191,1278.678723,1280.791489,1220.006383,1161.161702,1201.729787,1287.623404,1351.653191,1111.325532,1017.455319,992.0638298,989.1468085,1204.678723,1332.095745,1310.187234,1400.187234,1489.121277,1535.93617,1813.034043,7375.959574,2346.485106,1691.955319,1543.051064,1442.840426,1340.723404,1366.708511,1559.661702,1474.787234,1240.804255,1817.644681,2534.691489,3943.042553,4090.668085,4060.242553,3686.582979,3311.955319,2913.848936,2649.055319,2374.712766,2255.357447,2189.682979,2174.093617,2115.580851,2052.080851,1966.83617,1796.285106,1722.912766,1596.097872,1412.157447,1374.170213,1410.740426,1309.919149,1184.182979,1158.604255,1254.859574,1287.391489,1207.9,1197.985106,1230.219149,1193.206383,1143.42766,1065.797872,964.5446809,920.7510638,846.3297872,769.993617,728.3191489,691.4361702,671.4978723,661.5914894,649.2297872,643.6808511,641.0659574,648.7148936,652.7808511,646.3085106,625.9957447,626.487234,631.4680851,622.2297872,622.1021277,618.1553191,616.2085106,615.0680851,1,2
9,9,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0009.tif,633.7997437,880.3566284,536,0.855531396,34.9964447,18.11944199,0.517750936,26.12386641,3.054811419,0.806015038,91.35533834,771.369403,719.0466418,1183.697761,1201.901119,1134.958955,1201.389925,1258.070896,1280.220149,1218.139925,1175.705224,1185.869403,1265.143657,1308.958955,1102.589552,1009.337687,986.0988806,990.4085821,1179.520522,1296.990672,1267.462687,1385.376866,1470.860075,1533.432836,1829.835821,7136.522388,2281.212687,1624.298507,1484.574627,1387.56903,1305.313433,1329.404851,1531.574627,1431.772388,1205.608209,1701.722015,2384.154851,3607.304104,3749.376866,3794.578358,3453.619403,3125.031716,2808.208955,2553.287313,2292.91791,2153.276119,2078.647388,1995.093284,1958.098881,1901.06903,1823.132463,1677.628731,1629.291045,1529.225746,1349.018657,1296.291045,1343.100746,1224.397388,1125.141791,1092.218284,1178.117537,1188.128731,1134.824627,1135.602612,1154.597015,1130.503731,1087.449627,1032.787313,930.4570896,900.9626866,825.2145522,758.0130597,710.744403,675.5802239,658.5261194,647.5186567,643.2649254,637.3824627,633.9869403,644.5298507,646.0391791,643.3955224,629.6623134,624.6716418,623.136194,622.4179104,619.9757463,616.5671642,612.380597,607.516791,1,2
10,10,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0010.tif,330.2724915,849.6173706,562,0.77539504,32.7164917,20.65969467,0.631476469,26.74996494,1.088007699,0.720512821,91.01219261,780.1067616,707.9234875,1173.603203,1230.243772,1176.613879,1255.909253,1305.669039,1292.398577,1227.467972,1197.272242,1220.160142,1305.654804,1378.644128,1140.613879,1047.302491,998.0765125,1023.725979,1229.051601,1382.891459,1359.11032,1459.254448,1552.724199,1576.412811,1852.540925,8096.005338,2492.47331,1766.950178,1628.788256,1494.354093,1400.608541,1408.992883,1611.330961,1552.948399,1291.704626,1960.400356,2618.702847,4243.062278,4414.169039,4428.928826,3993.959075,3570.434164,3158.024911,2844.613879,2559.846975,2448.284698,2353.281139,2326.567616,2279.793594,2201.233096,2114.88968,1912.16726,1828.238434,1725.619217,1502.382562,1449.622776,1506.108541,1381.907473,1253.44306,1217.720641,1339.101423,1358.761566,1296.498221,1280.266904,1313.884342,1270.437722,1214.014235,1132.174377,1013.743772,975.3985765,877.5960854,804.2669039,750.8843416,709.7064057,683.0231317,669.3024911,661.6014235,658.2206406,654.9181495,659.4359431,664.4679715,652.8736655,638.1992883,634.0551601,633.9982206,629.4288256,628.2455516,625.3469751,621.7989324,619.3540925,1,2
11,11,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0011.tif,43.32772827,834.3598022,452,0.591289206,26.44560814,21.32731438,0.806459593,23.98967016,1.62547169,0.79020979,84.76955187,677.1128319,670.7632743,1047.811947,1043.088496,996.6393805,1049.606195,1095.353982,1103.661504,1064.35177,1032.037611,1041.557522,1099.769912,1142.911504,985.5309735,909.4247788,894.5221239,906.4269912,1067.267699,1134.661504,1123.719027,1257.659292,1325.652655,1360.99115,1724.095133,5584.323009,1944.183628,1440.378319,1364.811947,1276.982301,1213.393805,1247.183628,1426.566372,1315.172566,1127.829646,1537.369469,2370.524336,3383.840708,3526.676991,3554.292035,3284.183628,2970.112832,2682.977876,2414.393805,2167.079646,2047.106195,2018.690265,1944.783186,1897.09292,1833.935841,1807.057522,1627.347345,1582.154867,1478.493363,1317.057522,1285.690265,1330.997788,1207.584071,1101.776549,1074.415929,1155.495575,1162.659292,1114.705752,1105.659292,1143.69469,1117.818584,1084.139381,998.8517699,909.4513274,874.630531,792.1128319,734.0641593,684.2964602,654.7942478,634.8650442,619.6415929,623.7964602,614.3230088,610.5530973,625.119469,627.9646018,612.0818584,603.3783186,602.5,599.2588496,595.8163717,594.8716814,590.6017699,584.7610619,582.6792035,1,2
12,12,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0012.tif,901.2398071,830.052002,503,0.795530023,31.41036034,19.03198242,0.60591417,25.30690599,1.228680395,0.728985507,88.42640615,693.695825,708.9423459,1197.465209,1188.419483,1128.574553,1188.840954,1248.970179,1288.192843,1255.888668,1211.415507,1244.379722,1320.316103,1341.779324,1135.385686,1049.962227,1028.141153,1053.779324,1265.481113,1327.413519,1318.522863,1485.192843,1612.924453,1684.751491,2280.807157,7032.407555,2431.025845,1774.574553,1627.88668,1517.326044,1446.250497,1539.445328,1797.888668,1566.735586,1369.82505,1874.232604,3110.797217,4267.22664,4424.469185,4488.918489,4137.978131,3767.838966,3421.222664,3098.065606,2773.127237,2591.928429,2505.576541,2418.073559,2345.405567,2270.514911,2197.821074,2001.524851,1955.224652,1840.234592,1611.687873,1589.578529,1640.628231,1459.439364,1305.866799,1268.343936,1373.709742,1376.427435,1318.781312,1304.151093,1353.019881,1327.351889,1272.922465,1190.12326,1063.570577,1029.079523,917.9383698,830.5924453,770.6838966,733.3757455,705.5666004,688.4572565,676.1928429,669.8508946,668.2047714,678.0994036,676.9145129,671.0735586,648.4095427,646.6222664,646.4473161,636.3797217,632.2485089,628.5168986,622.0497018,619.8966203,1,2
13,13,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0013.tif,789.2756348,713.7910767,456,0.703367123,27.69638824,19.68733406,0.710826765,24.09558533,2.358475488,0.7296,80.18376529,734.6096491,690.7653509,1143.089912,1169.495614,1106.322368,1175.559211,1233.682018,1259.171053,1201.421053,1161.280702,1178.565789,1262.686404,1300.059211,1097.070175,1009.809211,986.4188596,1010.714912,1207.032895,1324.195175,1300.320175,1432.269737,1553.565789,1620.91886,1958.866228,7997.190789,2481.427632,1744.10307,1601.225877,1492.078947,1400.826754,1444.359649,1685.04386,1584.127193,1322.697368,1919.028509,2764.916667,4259.66886,4478.655702,4542.460526,4182.234649,3795.072368,3375.651316,3078.475877,2786.337719,2584.548246,2496.010965,2403.791667,2354.892544,2251.767544,2196.631579,1991.006579,1913.510965,1809.70614,1571.285088,1521.541667,1566.890351,1433.214912,1280.708333,1252.506579,1359.675439,1369.429825,1312.710526,1293.732456,1345.217105,1311.655702,1256.247807,1163.061404,1049.447368,1000.041667,889.1162281,806.6118421,746.1600877,705.9364035,681.9276316,661.1754386,654.3179825,646.9078947,643.8048246,656.2785088,655.2061404,645.5877193,630.5285088,626.7412281,623.5942982,622.3245614,619.2653509,612.747807,612.2236842,606.5745614,1,2
14,14,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0014.tif,737.479126,701.5581665,524,0.83392669,33.55363083,18.51741791,0.551875235,25.82977974,2.833283554,0.744318182,89.01219237,746.8072519,689.9274809,1098.814885,1142.494275,1086.648855,1149.979008,1198.814885,1230.507634,1172.467557,1123.709924,1139.28626,1217.774809,1267.73855,1080.284351,980.2366412,955.4293893,966.3129771,1151.5,1269.507634,1253.145038,1382.805344,1474.696565,1524.44084,1790.538168,7533.351145,2317.379771,1600.526718,1479.248092,1381.80916,1290.90458,1327.482824,1530.946565,1444.828244,1209.782443,1758.381679,2366.324427,3715.482824,3893.198473,3957.96374,3612.103053,3278.177481,2926.807252,2660.971374,2393.057252,2246.961832,2172.185115,2099.900763,2026.822519,1969.763359,1904.793893,1721.637405,1681.435115,1578.057252,1393.217557,1337.543893,1373.204198,1264.353053,1155.902672,1131.706107,1211.265267,1229.906489,1179.101145,1160.597328,1195.103053,1172.28626,1125.927481,1066.223282,964.6641221,927.1240458,849.7900763,773.8416031,726.6354962,693.6984733,665.9770992,655.6526718,650.3874046,644.6412214,639.5687023,644.8664122,649.5954198,644.129771,625.0553435,619.0305344,622.3416031,613.6087786,614.7938931,609.6870229,604.230916,604.9293893,1,2
15,15,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0015.tif,499.6332397,674.156189,600,0.807168609,35.12715149,20.73629379,0.59032096,27.63953196,1.2245489,0.727272727,94.42640591,814.1616667,700.6083333,1194.278333,1278.978333,1244.378333,1331.566667,1373.85,1353.411667,1283.788333,1222.888333,1279.473333,1384.261667,1462.421667,1198.343333,1067.193333,1027.863333,1041.33,1301.543333,1516.391667,1455.875,1564.955,1627.93,1668.001667,1861.44,9615.748333,2868.803333,1919.936667,1741.821667,1597.716667,1418.88,1446.37,1656.415,1636.24,1363.438333,2146.045,2641.996667,4617.086667,4846.851667,4825.253333,4307.928333,3838.915,3363.535,3060.818333,2767.37,2623.978333,2559.993333,2507.34,2425.37,2339.52,2237.05,2016.09,1901.278333,1779.983333,1533.205,1483.466667,1537.851667,1440.253333,1304.276667,1268.983333,1397.165,1430.945,1357.295,1319.878333,1350.876667,1308.43,1246.213333,1155.545,1031.288333,999.0233333,896.065,810.2666667,759.9066667,713.975,683.3183333,669.5083333,658.1183333,651.9366667,646.9733333,654.4633333,659.39,648.365,633.145,624.1616667,631.56,625.8966667,623.6816667,620.19,615.695,617.0833333,1,2
16,16,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0016.tif,675.0643311,651.4701538,520,0.848592579,34.45248032,18.2269783,0.529046911,25.73100393,3.07458033,0.80495356,89.35533845,785.3884615,698.95,1197.321154,1243.907692,1184.288462,1258.419231,1325.319231,1326.055769,1247.244231,1203.184615,1227.275,1318.975,1380.907692,1142.782692,1034.873077,997.5173077,1008.655769,1222.128846,1386.407692,1332.080769,1466.355769,1570.357692,1605.005769,1824.55,8332.751923,2505.517308,1715.901923,1571.507692,1463.836538,1336.432692,1363.369231,1553.907692,1491.728846,1241.855769,1864.207692,2386.419231,3900.313462,4139.211538,4198.021154,3770.467308,3406.4,3028.228846,2735.742308,2463.505769,2314.603846,2216.794231,2163.551923,2094.678846,2031.986538,1952.944231,1768.415385,1694.246154,1595.853846,1392.653846,1332.121154,1376.748077,1284.771154,1153.880769,1127.182692,1220.563462,1236.242308,1189.405769,1179.169231,1207.078846,1166.867308,1121.236538,1052.528846,955.4461538,915.1884615,832.8153846,765.6115385,717.6269231,686.0288462,667.3480769,653.975,648.85,639.9846154,633.8480769,641.4057692,644.7365385,640.8365385,623.3711538,614.0423077,615.275,611.8634615,612.8865385,609.7480769,605.6807692,604.5442308,1,2
17,17,F:\FromTelework\data\processed\AOTF_deadlive_Hali\classification\image,001__Dead____EC_Dead_Hali_250-9-1_546nm.tif,/project/hmi_deeplearning/data/AOTF_deadlive_Hali/classification/single_cells,001__Dead____EC_Dead_Hali_250-9-1_546nm__0017.tif,137.4223938,604.5670776,480,0.909267146,37.63790512,15.66538525,0.416212996,24.72154893,3.00262731,0.740740741,90.76955211,754.7604167,690.025,1076.275,1102.322917,1071.275,1135.79375,1173.395833,1168.46875,1106.05,1059.983333,1087.864583,1168.741667,1214.89375,1030.11875,939.8833333,907.0229167,909.95,1090.625,1215.127083,1192.083333,1295.739583,1373.208333,1395.975,1619.285417,6806.264583,2147.145833,1534.914583,1400.7,1295.547917,1202.958333,1225.96875,1386.602083,1320.264583,1136.458333,1663.110417,2155.3125,3416.085417,3602.677083,3619.28125,3284.570833,2965.10625,2680.945833,2434.202083,2240.185417,2140.98125,2064.666667,2002.808333,1943.3625,1874.741667,1771.904167,1593.63125,1529.8,1426.391667,1247.314583,1217.391667,1245.91875,1168.78125,1064.925,1037.547917,1121.458333,1142.672917,1085.24375,1071.625,1106.125,1070.1125,1035.410417,965.2916667,881.3791667,859.1520833,786.5270833,734.0791667,694.66875,662.1979167,646.5270833,636.1791667,631.05625,625.9666667,620.7916667,626.8833333,623.1333333,615.8458333,599.8520833,597.6979167,596.7416667,596.6791667,594.3333333,589.2666667,586.9645833,587.7270833,1,2
